Step	dt	Time	fbody_x	fbody_y	fbody_z	dy_tip	
0	1e-16	0	0	0	0	1.44865e-07	
1	1e-16	0	0	-1.05e+06	0	1.44865e-07	
2	0.00018619	1e-16	0	-1.05e+06	0	-3.45218e-05	
3	0.000186093	0.00018619	0	-1.05e+06	0	-0.000103801	
4	0.000185906	0.000372283	0	-1.05e+06	0	-0.000207572	
5	0.000185637	0.000558189	0	-1.05e+06	0	-0.000345654	
6	0.000185299	0.000743826	0	-1.05e+06	0	-0.00051782	
7	0.000184904	0.000929126	0	-1.05e+06	0	-0.000723809	
8	0.000184466	0.00111403	0	-1.05e+06	0	-0.000963337	
9	0.000183997	0.0012985	0	-1.05e+06	0	-0.00123611	
10	0.000183509	0.00148249	0	-1.05e+06	0	-0.00154184	
11	0.000183013	0.001666	0	-1.05e+06	0	-0.00188023	
12	0.000182514	0.00184902	0	-1.05e+06	0	-0.00225102	
13	0.000182021	0.00203153	0	-1.05e+06	0	-0.00265393	
14	0.000181535	0.00221355	0	-1.05e+06	0	-0.00308872	
15	0.00018106	0.00239509	0	-1.05e+06	0	-0.00355516	
16	0.000180596	0.00257615	0	-1.05e+06	0	-0.00405301	
17	0.000180142	0.00275674	0	-1.05e+06	0	-0.00458207	
18	0.000179697	0.00293688	0	-1.05e+06	0	-0.00514211	
19	0.00017926	0.00311658	0	-1.05e+06	0	-0.00573292	
20	0.000178829	0.00329584	0	-1.05e+06	0	-0.00635429	
21	0.000178402	0.00347467	0	-1.05e+06	0	-0.00700601	
22	0.000177978	0.00365307	0	-1.05e+06	0	-0.00768785	
23	0.000177555	0.00383105	0	-1.05e+06	0	-0.0083996	
24	0.000177133	0.0040086	0	-1.05e+06	0	-0.00914103	
25	0.000176711	0.00418574	0	-1.05e+06	0	-0.00991193	
26	0.000176289	0.00436245	0	-1.05e+06	0	-0.0107121	
27	0.000175867	0.00453874	0	-1.05e+06	0	-0.0115412	
28	0.000175446	0.00471461	0	-1.05e+06	0	-0.0123991	
29	0.000175025	0.00489005	0	-1.05e+06	0	-0.0132857	
30	0.000174606	0.00506508	0	-1.05e+06	0	-0.0142005	
31	0.000174189	0.00523968	0	-1.05e+06	0	-0.0151436	
32	0.000173774	0.00541387	0	-1.05e+06	0	-0.0161146	
33	0.000173361	0.00558765	0	-1.05e+06	0	-0.0171133	
34	0.000172952	0.00576101	0	-1.05e+06	0	-0.0181396	
35	0.000172545	0.00593396	0	-1.05e+06	0	-0.0191932	
36	0.000172141	0.0061065	0	-1.05e+06	0	-0.020274	
37	0.00017174	0.00627864	0	-1.05e+06	0	-0.0213818	
38	0.000171343	0.00645038	0	-1.05e+06	0	-0.0225164	
39	0.000170947	0.00662173	0	-1.05e+06	0	-0.0236776	
40	0.000170555	0.00679267	0	-1.05e+06	0	-0.0248652	
41	0.000170165	0.00696323	0	-1.05e+06	0	-0.0260791	
42	0.000169776	0.00713339	0	-1.05e+06	0	-0.027319	
43	0.00016939	0.00730317	0	-1.05e+06	0	-0.0285848	
44	0.000169006	0.00747256	0	-1.05e+06	0	-0.0298762	
45	0.000168624	0.00764157	0	-1.05e+06	0	-0.0311932	
46	0.000168243	0.00781019	0	-1.05e+06	0	-0.0325355	
47	0.000167864	0.00797843	0	-1.05e+06	0	-0.033903	
48	0.000167487	0.0081463	0	-1.05e+06	0	-0.0352955	
49	0.000167112	0.00831379	0	-1.05e+06	0	-0.0367127	
50	0.000166738	0.0084809	0	-1.05e+06	0	-0.0381546	
51	0.000166366	0.00864763	0	-1.05e+06	0	-0.0396209	
52	0.000165996	0.008814	0	-1.05e+06	0	-0.0411116	
53	0.000165629	0.00898	0	-1.05e+06	0	-0.0426264	
54	0.000165263	0.00914563	0	-1.05e+06	0	-0.0441651	
55	0.000164899	0.00931089	0	-1.05e+06	0	-0.0457277	
56	0.000164537	0.00947579	0	-1.05e+06	0	-0.0473139	
57	0.000164178	0.00964032	0	-1.05e+06	0	-0.0489235	
58	0.00016382	0.0098045	0	-1.05e+06	0	-0.0505566	
59	0.000163465	0.00996832	0	-1.05e+06	0	-0.0522127	
60	0.000163112	0.0101318	0	-1.05e+06	0	-0.053892	
